"SETTLEMENTDATE","RUNNO","REGIONID","PERIODID","RRP","EEP","INVALIDFLAG","LASTCHANGED","ROP","RAISE6SECRRP","RAISE6SECROP","RAISE60SECRRP","RAISE60SECROP","RAISE5MINRRP","RAISE5MINROP","RAISEREGRRP","RAISEREGROP","LOWER6SECRRP","LOWER6SECROP","LOWER60SECRRP","LOWER60SECROP","LOWER5MINRRP","LOWER5MINROP","LOWERREGRRP","LOWERREGROP","PRICE_STATUS"
"1998-11-21 00:00:00",1,"NSW1",48,62.76000,0.00000,,"1998-11-20 23:55:06",62.76068,,,,,,,,,,,,,,,,,
"1998-11-21 00:00:00",1,"QLD1",48,41.50000,0.00000,,"1998-11-20 23:55:06",41.50327,,,,,,,,,,,,,,,,,
"1998-11-21 00:00:00",1,"SA1",48,65.93000,0.00000,,"1998-11-20 23:55:06",65.92737,,,,,,,,,,,,,,,,,
"1998-11-21 00:00:00",1,"SNOWY1",48,58.65000,0.00000,,"1998-11-20 23:55:06",58.65499,,,,,,,,,,,,,,,,,
"1998-11-21 00:00:00",1,"VIC1",48,55.65000,0.00000,,"1998-11-20 23:55:06",55.65464,,,,,,,,,,,,,,,,,
"1998-11-21 00:30:00",1,"NSW1",1,56.80000,0.00000,,"1998-11-21 00:25:06",56.79760,,,,,,,,,,,,,,,,,
"1998-11-21 00:30:00",1,"QLD1",1,39.94000,0.00000,,"1998-11-21 00:25:06",39.93999,,,,,,,,,,,,,,,,,
"1998-11-21 00:30:00",1,"SA1",1,61.22000,0.00000,,"1998-11-21 00:25:06",61.21590,,,,,,,,,,,,,,,,,
"1998-11-21 00:30:00",1,"SNOWY1",1,53.69000,0.00000,,"1998-11-21 00:25:06",53.68782,,,,,,,,,,,,,,,,,
"1998-11-21 00:30:00",1,"VIC1",1,50.71000,0.00000,,"1998-11-21 00:25:06",50.70900,,,,,,,,,,,,,,,,,
"1998-11-21 01:00:00",1,"NSW1",2,40.53000,0.00000,,"1998-11-21 00:55:06",40.52528,,,,,,,,,,,,,,,,,
"1998-11-21 01:00:00",1,"QLD1",2,39.88000,0.00000,,"1998-11-21 00:55:06",39.88001,,,,,,,,,,,,,,,,,
"1998-11-21 01:00:00",1,"SA1",2,4176.86000,0.00000,,"1998-11-21 00:55:06",4176.85576,,,,,,,,,,,,,,,,,
"1998-11-21 01:00:00",1,"SNOWY1",2,38.77000,0.00000,,"1998-11-21 00:55:06",38.77161,,,,,,,,,,,,,,,,,
"1998-11-21 01:00:00",1,"VIC1",2,37.01000,0.00000,,"1998-11-21 00:55:06",37.00667,,,,,,,,,,,,,,,,,
"1998-11-21 01:30:00",1,"NSW1",3,19.72000,0.00000,,"1998-11-21 01:25:06",19.72331,,,,,,,,,,,,,,,,,
"1998-11-21 01:30:00",1,"QLD1",3,32.93000,0.00000,,"1998-11-21 01:25:06",32.93168,,,,,,,,,,,,,,,,,
"1998-11-21 01:30:00",1,"SA1",3,25.90000,0.00000,,"1998-11-21 01:25:06",25.90414,,,,,,,,,,,,,,,,,
"1998-11-21 01:30:00",1,"SNOWY1",3,19.36000,0.00000,,"1998-11-21 01:25:06",19.35797,,,,,,,,,,,,,,,,,
"1998-11-21 01:30:00",1,"VIC1",3,18.97000,0.00000,,"1998-11-21 01:25:06",18.96968,,,,,,,,,,,,,,,,,
"1998-11-21 02:00:00",1,"NSW1",4,14.88000,0.00000,,"1998-11-21 01:55:05",14.87755,,,,,,,,,,,,,,,,,
"1998-11-21 02:00:00",1,"QLD1",4,21.07000,0.00000,,"1998-11-21 01:55:05",21.07338,,,,,,,,,,,,,,,,,
"1998-11-21 02:00:00",1,"SA1",4,16.95000,0.00000,,"1998-11-21 01:55:05",16.94769,,,,,,,,,,,,,,,,,
"1998-11-21 02:00:00",1,"SNOWY1",4,14.67000,0.00000,,"1998-11-21 01:55:05",14.67073,,,,,,,,,,,,,,,,,
"1998-11-21 02:00:00",1,"VIC1",4,14.41000,0.00000,,"1998-11-21 01:55:05",14.41007,,,,,,,,,,,,,,,,,
"1998-11-21 02:30:00",1,"NSW1",5,14.00000,0.00000,,"1998-11-21 02:25:06",13.99973,,,,,,,,,,,,,,,,,
"1998-11-21 02:30:00",1,"QLD1",5,21.06000,0.00000,,"1998-11-21 02:25:06",21.05840,,,,,,,,,,,,,,,,,
"1998-11-21 02:30:00",1,"SA1",5,15.42000,0.00000,,"1998-11-21 02:25:06",15.41795,,,,,,,,,,,,,,,,,
"1998-11-21 02:30:00",1,"SNOWY1",5,13.73000,0.00000,,"1998-11-21 02:25:06",13.73154,,,,,,,,,,,,,,,,,
"1998-11-21 02:30:00",1,"VIC1",5,13.43000,0.00000,,"1998-11-21 02:25:06",13.43335,,,,,,,,,,,,,,,,,
